Port Number,Time Since Start,Bandwidth
5011,115.193243ms,68
5011,12.555924277s,115
5011,34.333479386s,115
5011,4.706604115s,115
5011,113.691565ms,68
5011,115.173102ms,68
5011,1.425032737s,115
5011,4.706614327s,115
5011,32.398504263s,115
5011,115.201823ms,68
5011,1.425046668s,115
5011,1.425055293s,115
5011,12.55588677s,115
5011,12.555911983s,115
5011,113.48208ms,68
5011,113.70216ms,68
5011,115.18624ms,68
5011,32.398514625s,115
5011,34.333524124s,115
5011,20.646871021s,116
5011,20.646884871s,116
5011,32.398471039s,115
5011,34.333510426s,115
5011,113.575842ms,68
5011,113.70878ms,68
5011,4.706573591s,115
5011,113.563853ms,68
5011,20.646893686s,116
