Port Number,Time Since Start,Bandwidth
5009,12.800361ms,68
5009,12.807056ms,68
5009,12.835146ms,68
5009,12.960043ms,68
5009,13.25687ms,68
5009,13.436887ms,68
5009,13.015803ms,68
5009,13.392063ms,68
5009,13.462977ms,68
5009,13.054267ms,68
5009,12.571027ms,68
5009,12.348995ms,68
5009,12.812669ms,68
5009,13.23949ms,68
5009,12.336647ms,68
5009,12.648576ms,68
5009,12.673476ms,68
5009,13.40972ms,68
5009,13.473943ms,68
5009,13.66201ms,68
5009,12.364881ms,68
5009,13.058675ms,68
5009,13.167385ms,68
5009,13.397243ms,68
5009,12.625801ms,68
5009,13.157747ms,68
5009,13.179605ms,68
5009,13.552397ms,68
5009,13.562127ms,68
5009,12.410014ms,68
5009,12.561144ms,68
5009,13.042535ms,68
5009,13.20055ms,68
5009,13.642717ms,68
5009,7.599131ms,68
5009,12.432965ms,68
5009,12.985818ms,68
5009,12.767767ms,68
5009,12.784796ms,68
5009,12.848029ms,68
5009,13.634697ms,68
5009,12.402237ms,68
5009,12.631507ms,68
5009,13.245156ms,68
5009,13.483571ms,68
5009,13.69618ms,68
5009,13.71279ms,68
5009,13.18857ms,68
5009,13.204998ms,68
5009,13.668389ms,68
5009,12.611556ms,68
5009,13.011456ms,68
5009,13.368624ms,68
5009,13.603762ms,68
5009,12.579081ms,68
5009,13.221244ms,68
5009,13.233878ms,68
5009,7.494322ms,68
5009,12.867134ms,68
5009,13.679113ms,68
5009,12.396825ms,68
5009,12.668696ms,68
5009,12.795437ms,68
5009,12.979249ms,68
5009,7.698345ms,68
5009,12.678419ms,68
5009,13.228124ms,68
5009,12.791063ms,68
5009,12.855224ms,68
5009,12.998927ms,68
5009,13.705408ms,68
5009,7.70462ms,68
5009,12.992378ms,68
5009,13.172066ms,68
5009,13.690103ms,68
5009,12.384055ms,68
5009,12.599269ms,68
5009,13.420896ms,68
5009,13.655648ms,68
5009,12.824423ms,68
5009,12.861534ms,68
5009,13.616566ms,68
5009,13.684984ms,68
5009,12.391489ms,68
5009,12.949499ms,68
5009,13.19482ms,68
5009,13.251031ms,68
5009,13.610753ms,68
5009,13.718853ms,68
5009,13.210724ms,68
5009,13.21642ms,68
5009,13.404058ms,68
5009,13.41524ms,68
5009,13.64914ms,68
5009,7.612898ms,68
5009,12.779061ms,68
5009,12.829141ms,68
5009,12.954143ms,68
5009,13.005364ms,68
5009,13.261128ms,68
5009,13.450877ms,68
5009,12.605675ms,68
5009,12.662714ms,68
5009,13.425243ms,68
5009,13.468551ms,68
5009,12.356757ms,68
5009,12.818525ms,68
5009,12.440258ms,68
5009,13.036259ms,68
5009,13.431289ms,68
5009,13.479524ms,68
5009,13.595585ms,68
5009,7.687802ms,68
5009,12.416386ms,68
5009,13.380827ms,68
5009,12.446614ms,68
5009,12.655655ms,68
5009,12.9389ms,68
5009,13.048319ms,68
5009,13.063135ms,68
5009,13.441336ms,68
5009,13.457478ms,68
5009,13.67286ms,68
